identifiant	occurrences	fichiers
RepereLocal	9	crates/mail-core/src/lib.rs;crates/mail-core/src/sync.rs
bas	9	apps/desktop/src/commands.rs;crates/mail-core/src/compose.rs
cible	9	apps/desktop/src/demenagement.rs;crates/mail-core/examples/seed_inbox.rs
compte_echos	9	crates/mail-core/src/echo.rs
dernier_blanc	9	crates/mail-core/src/body.rs
liens	9	crates/mail-core/examples/banc_migration_fils.rs;crates/mail-core/src/thread.rs
lignes	9	crates/mail-core/examples/banc_page_liste.rs;crates/mail-core/examples/banc_recherche.rs;crates/mail-core/src/store.rs
lot	9	crates/mail-core/examples/seed_arrivee.rs;crates/mail-core/src/correspondants.rs;crates/mail-core/src/store.rs
notification_for	9	crates/mail-core/src/notify.rs
organisateur_adresse	9	crates/mail-core/src/invitation.rs;crates/mail-core/src/store.rs;crates/mail-ical/src/lib.rs;crates/mail-ical/tests/corpus.rs
plage	9	crates/mail-core/src/store.rs
reception	9	crates/mail-core/examples/seed_clarity.rs;crates/mail-core/src/nav.rs
SocketSous	8	crates/mail-imap/src/lib.rs
apres	8	crates/mail-core/src/body.rs;crates/mail-core/src/sync.rs
autre	8	crates/mail-core/src/store.rs
brouillons	8	crates/mail-core/src/nav.rs
compose_simple	8	crates/mail-core/src/compose.rs
deja_faite	8	crates/mail-core/src/store.rs
draft_with_pieces	8	crates/mail-core/src/outbox.rs
fait	8	apps/desktop/src/commands.rs;apps/desktop/src/main.rs;crates/mail-core/src/correspondants.rs
geste_avec_echo	8	crates/mail-core/src/echo.rs
initialisee	8	crates/mail-core/src/store.rs;crates/mail-core/src/sync.rs
lieu	8	crates/mail-core/src/invitation.rs;crates/mail-core/src/store.rs;crates/mail-ical/src/lib.rs
repondant	8	crates/mail-ical/src/lib.rs;crates/mail-ical/tests/corpus.rs
store_avec_corbeille	8	crates/mail-core/src/echo.rs
FluxBorne	7	crates/mail-imap/src/lib.rs
IDENTIFIANT	7	apps/desktop/src/demenagement.rs
NO_HORIZON	7	crates/mail-core/src/backfill.rs
OutboxMessage	7	crates/mail-smtp/src/lib.rs
archive	7	crates/mail-core/src/remote.rs;crates/mail-core/src/test_support.rs;crates/mail-imap/src/lib.rs
build_message	7	crates/mail-smtp/src/lib.rs
commandes	7	apps/desktop/src/main.rs;crates/mail-imap/src/faux_serveur.rs
dossier_temporaire	7	apps/desktop/src/instance.rs;apps/desktop/src/trace.rs
echo_envoi	7	crates/mail-core/src/echo.rs
fils	7	crates/mail-core/examples/banc_migration_fils.rs;crates/mail-core/examples/banc_page_liste.rs;crates/mail-core/src/nav.rs;crates/mail-core/src/store.rs
flux	7	crates/mail-imap/src/lib.rs
fond	7	crates/mail-render/src/lib.rs
propre	7	apps/desktop/src/commands.rs;crates/mail-core/src/store.rs
sans_condstore	7	apps/desktop/src/commands.rs;crates/mail-core/src/sync.rs
uidnext_vu	7	apps/desktop/src/commands.rs;crates/mail-core/src/sync.rs
ArchiveStrategy	6	crates/mail-imap/src/convert.rs
CibleGeste	6	crates/mail-core/src/echo.rs
ErreurIcal	6	crates/mail-ical/src/lib.rs
InvitationRow	6	crates/mail-core/src/invitation.rs;crates/mail-core/src/lib.rs
SYNC_BYTES_PER_MESSAGE	6	crates/mail-core/src/sync.rs
SourceTransfert	6	crates/mail-core/src/compose.rs
blanc_en_attente	6	crates/mail-core/src/search.rs
borne	6	crates/mail-core/src/store.rs
borne_epoch	6	crates/mail-core/src/store.rs
brouillon	6	crates/mail-core/src/outbox.rs
chemin	6	apps/desktop/src/trace.rs;crates/mail-core/examples/seed_clarity.rs
compte_boite	6	crates/mail-core/src/nav.rs
debut_epoch	6	crates/mail-core/src/invitation.rs;crates/mail-core/src/store.rs
encre	6	crates/mail-render/src/lib.rs
envoye	6	crates/mail-core/src/compose.rs
fin_epoch	6	crates/mail-core/src/invitation.rs;crates/mail-core/src/store.rs
garde	6	apps/desktop/src/instance.rs;apps/desktop/src/veilleur.rs
geste_sous	6	crates/mail-core/src/echo.rs
par_role	6	crates/mail-core/src/nav.rs
pause	6	apps/desktop/src/veilleur.rs
premier	6	crates/mail-core/src/store.rs;crates/mail-imap/src/lib.rs
premiere	6	apps/desktop/src/instance.rs
routages	6	crates/mail-core/examples/banc_nettoyage.rs;crates/mail-core/src/store.rs
traites	6	crates/mail-core/examples/banc_nettoyage.rs;crates/mail-core/src/store.rs
trouver	6	crates/mail-core/src/body.rs;crates/mail-core/src/search.rs
ANCIEN_IDENTIFIANT	5	apps/desktop/src/demenagement.rs
AdoptionProgress	5	crates/mail-core/src/store.rs
RegistreInitialisees	5	crates/mail-core/src/store.rs
SessionNettoyage	5	crates/mail-core/src/store.rs
actions_en_attente	5	apps/desktop/src/commands.rs;crates/mail-core/src/sync.rs
avec_statut	5	apps/desktop/src/commands.rs
balayer_echos	5	crates/mail-core/src/echo.rs
boites_du_perimetre	5	crates/mail-core/src/store.rs
corps_alternatif	5	crates/mail-smtp/src/lib.rs
cote	5	apps/desktop/src/commands.rs;crates/mail-core/src/store.rs
courrier	5	apps/desktop/src/commands.rs;apps/desktop/src/main.rs
cout	5	crates/mail-core/examples/banc_recherche.rs
debut_texte	5	crates/mail-core/src/invitation.rs;crates/mail-core/src/store.rs
demenager_dossier	5	apps/desktop/src/demenagement.rs
dernier	5	crates/mail-core/examples/banc_recherche.rs;crates/mail-imap/src/lib.rs
expediteurs	5	crates/mail-core/examples/seed_inbox.rs
fin_texte	5	crates/mail-core/src/invitation.rs;crates/mail-core/src/store.rs
forme	5	crates/mail-core/examples/diagnostic_fils.rs
gros	5	crates/mail-core/examples/banc_nettoyage.rs;crates/mail-core/examples/diagnostic_fils.rs
groupes	5	crates/mail-core/examples/banc_nettoyage.rs;crates/mail-core/src/store.rs
horizon_import	5	crates/mail-core/src/store.rs
journee_entiere	5	crates/mail-core/src/invitation.rs;crates/mail-core/src/store.rs
mode_organise_epoch	5	crates/mail-core/src/store.rs
modseq_vu	5	apps/desktop/src/commands.rs;crates/mail-core/src/sync.rs
nettoyage_critere	5	crates/mail-core/src/store.rs
organisateur_nom	5	crates/mail-core/src/invitation.rs;crates/mail-core/src/store.rs
oui	5	crates/mail-core/src/store.rs
page	5	crates/mail-core/src/store.rs
plancher	5	crates/mail-imap/src/lib.rs
plus_haut_fait	5	crates/mail-core/src/store.rs
releve	5	apps/desktop/src/commands.rs;crates/mail-core/src/outbox.rs
substituer_transfert	5	crates/mail-core/src/compose.rs
DemandeReponse	4	crates/mail-ical/src/lib.rs;crates/mail-ical/tests/corpus.rs
ImagePolicy	4	crates/mail-render/src/sanitize.rs
MARQUE	4	crates/mail-core/src/correspondants.rs
NOM	4	apps/desktop/src/trace.rs
Notification	4	crates/mail-core/src/notify.rs
PREF_MODE_ORGANISE	4	crates/mail-core/src/store.rs
PREF_MODE_ORGANISE_EPOCH	4	crates/mail-core/src/store.rs
Sortie	4	crates/mail-core/src/search.rs
Veille	4	crates/mail-imap/src/lib.rs
agir_groupe	4	crates/mail-core/src/echo.rs
archive_strategy	4	crates/mail-imap/src/convert.rs;crates/mail-imap/src/lib.rs
arrivees	4	apps/desktop/src/commands.rs;crates/mail-core/src/sync.rs
arrivees_depuis	4	crates/mail-core/src/store.rs
brouillon_echo	4	crates/mail-core/examples/seed_clarity.rs
commence_par	4	crates/mail-core/src/body.rs
depuis	4	apps/desktop/src/commands.rs;apps/desktop/src/main.rs
du_fil	4	crates/mail-core/src/echo.rs;crates/mail-core/src/store.rs
duree	4	crates/mail-core/examples/banc_recherche.rs;crates/mail-core/src/correspondants.rs
echo_vue	4	crates/mail-core/src/echo.rs
ecrire_dans	4	apps/desktop/src/trace.rs
fil_route	4	crates/mail-core/src/nav.rs;crates/mail-core/src/store.rs
force_date	4	crates/mail-core/src/search.rs
hors_pile	4	crates/mail-core/src/nav.rs;crates/mail-core/src/store.rs
journal	4	crates/mail-imap/src/faux_serveur.rs
legere	4	crates/mail-core/src/outbox.rs
messages_locaux	4	apps/desktop/src/commands.rs;crates/mail-core/src/sync.rs
nettoyage_etat	4	crates/mail-core/src/store.rs
nombre	4	crates/mail-core/examples/diagnostic_fils.rs;crates/mail-core/examples/seed_clarity.rs
organisateur	4	crates/mail-ical/src/lib.rs
organise	4	crates/mail-core/src/nav.rs
participation_du_repondant	4	crates/mail-ical/src/lib.rs
present_en_destination	4	crates/mail-core/src/echo.rs
rangs	4	crates/mail-core/src/store.rs
rattraper_correspondants	4	crates/mail-core/src/correspondants.rs
reception_non_lues	4	crates/mail-core/src/nav.rs
reception_total	4	crates/mail-core/src/nav.rs
relever_inbox	4	apps/desktop/src/commands.rs
remote_images	4	crates/mail-render/src/sanitize.rs
repere	4	apps/desktop/src/commands.rs
repondant_adresse	4	crates/mail-core/src/invitation.rs;crates/mail-core/src/store.rs
repondant_nom	4	crates/mail-core/src/invitation.rs;crates/mail-core/src/store.rs
repondant_statut	4	crates/mail-core/src/invitation.rs;crates/mail-core/src/store.rs
reponse_a	4	crates/mail-core/examples/seed_arrivee.rs
reposer_sessions	4	apps/desktop/src/commands.rs
retraits_du_non	4	crates/mail-core/src/store.rs
retrograde_ancien_schema	4	crates/mail-core/src/search.rs
sans_adresse	4	crates/mail-core/examples/diagnostic_boites.rs
source_du_transfert	4	crates/mail-core/src/compose.rs
tri	4	crates/mail-core/src/store.rs
valider_routage	4	crates/mail-core/src/store.rs
BORNE_OCTETS	3	apps/desktop/src/trace.rs
Correspondant	3	crates/mail-core/src/correspondants.rs
DESTINATIONS_ROUTAGE	3	crates/mail-core/src/store.rs
DOSSIER	3	apps/desktop/src/trace.rs
FinDeCycle	3	apps/desktop/src/commands.rs
GardeInstance	3	apps/desktop/src/instance.rs
GroupeNettoyage	3	crates/mail-core/src/store.rs
Invitation	3	crates/mail-ical/src/lib.rs
InvitationRang	3	crates/mail-core/src/nav.rs;crates/mail-core/src/store.rs
MOTS	3	crates/mail-core/examples/seed_inbox.rs
MessageRecipients	3	crates/mail-core/src/lib.rs;crates/mail-core/src/remote.rs
Methode	3	crates/mail-ical/src/lib.rs
MigrationCheck	3	apps/desktop/src/commands.rs
NOM_VERROU	3	apps/desktop/src/instance.rs
PAUSE_MIN	3	apps/desktop/src/veilleur.rs
PREF_PORTIER_DEFAUT_NON	3	crates/mail-core/src/store.rs
PREF_PORTIER_DEFAUT_OUI	3	crates/mail-core/src/store.rs
Quand	3	crates/mail-ical/src/lib.rs
REGLES_ROUTAGE	3	crates/mail-core/src/store.rs
Routage	3	crates/mail-core/src/store.rs
SEUIL_ENVOI	3	crates/mail-core/src/outbox.rs
THREADING_VERSION	3	crates/mail-core/src/thread.rs
TransportDecor	3	crates/mail-core/examples/seed_clarity.rs
ajouter	3	crates/mail-core/src/compose.rs
apres_initiale	3	crates/mail-core/src/sync.rs
attente_defaite	3	crates/mail-core/src/store.rs
autres	3	crates/mail-core/examples/diagnostic_boites.rs
avant	3	crates/mail-core/src/search.rs
